super_veg1,super_shadow1,super_water1,super_road1,super_building1,super_total1,super_veg2,super_shadow2,super_water2,super_road2,super_building2,super_total2,super_veg3,super_shadow3,super_water3,super_road3,super_building3,super_total3,super_veg4,super_shadow4,super_water4,super_road4,super_building4,super_total4
0.9627289955780164,0.9615149664019548,0.9835234474017744,0.8886198547215496,0.8554838709677419,0.9303742270142075,0.9975062344139651,0.9435173299101411,0.9575384615384616,0.8286171916711158,0.7701492537313432,0.8994656942530054,0.9732360097323601,0.9294403892944039,0.928,0.8119891008174387,0.8302752293577982,0.8945881458404003,0.9569620253164557,0.9035532994923858,0.9509803921568627,0.7671840354767184,0.7215909090909092,0.8600541323066665
0.9794903666873834,0.9793878825733916,0.9868831980012491,0.9076452599388379,0.8918918918918919,0.9490597198185508,0.9981285090455396,0.9850931677018633,0.992462311557789,0.9205020920502093,0.9132720105124835,0.9618916181735769,0.9876543209876543,0.9873417721518987,0.984848484848485,0.9494949494949495,0.9411764705882353,0.9701031996142446,0.9876543209876543,0.9595959595959594,0.9775561097256857,0.9346246973365617,0.935064935064935,0.9588992045421593
0.9037304452466907,0.945041816009558,0.9822335025380711,0.8811013767209012,0.8,0.9024214281030442,0.9840098400984011,0.9426674713337357,0.9488188976377953,0.8830694275274057,0.8652482269503546,0.9247627727095385,0.9802955665024631,0.9364705882352942,0.9501312335958005,0.8878048780487805,0.8465608465608465,0.920252622588637,0.9447236180904524,0.9046454767726161,0.9595959595959594,0.8199052132701422,0.7839999999999999,0.882574053545834
0.9748743718592964,0.9650949173300674,0.9836477987421384,0.8962916404776871,0.8858218318695107,0.94114611205574,0.9956440572495334,0.9722393584207278,0.9771573604060914,0.9129886506935688,0.9130434782608695,0.9542145810061583,0.995,0.9752475247524752,0.99,0.9417475728155339,0.9270833333333334,0.9658156861802686,0.9876543209876543,0.9653465346534653,0.9770992366412213,0.9043062200956938,0.8947368421052632,0.9458286308966596
0.9579617834394905,0.9468021518230723,0.9842072015161086,0.8778492109877265,0.8366370471633631,0.9206914789859523,0.9762050030506406,0.9291244788564622,0.9335106382978724,0.8788265306122448,0.8658385093167702,0.916701032026798,0.975609756097561,0.9514066496163682,0.9526184538653366,0.8746928746928748,0.8542199488491049,0.9217095366242491,0.9448441247002398,0.8906666666666667,0.9491525423728814,0.8585131894484412,0.8359788359788359,0.895831071833413
0.9713574097135741,0.975,0.9887920298879203,0.9044665012406948,0.8870558375634517,0.9453343556811281,0.9975062344139651,0.9837702871410736,0.9893283113622098,0.905422446406053,0.9040247678018576,0.9560104094250319,0.9975062344139651,0.9824561403508771,0.9875930521091811,0.9417721518987343,0.9303482587064678,0.9679351674958451,0.97,0.9624060150375939,0.9874686716791979,0.923076923076923,0.9067357512953368,0.9499374722178103
0.9615141955835963,0.9131944444444444,0.9254533243787776,0.8490566037735849,0.7962716378162451,0.8890980411993296,0.9975031210986267,0.9490291262135921,0.9569752281616688,0.8852056476365868,0.8909892879647133,0.9359404822150376,0.9852216748768473,0.916030534351145,0.93573264781491,0.8790697674418605,0.8272251308900523,0.908655951074963,0.9261083743842364,0.90625,0.9597989949748743,0.7662650602409639,0.7204030226700252,0.8557650904540199
0.9717514124293786,0.9630996309963099,0.981863664790494,0.9140435835351088,0.8954248366013072,0.9452366256705197,0.9956440572495334,0.9856519026824703,0.9911838790931989,0.9259708737864079,0.9214929214929215,0.9639887268609063,0.9974937343358395,0.9773299748110831,0.9875930521091811,0.913151364764268,0.8994974874371859,0.9550131226915116,0.98,0.964824120603015,0.9924812030075189,0.9385749385749386,0.9292929292929293,0.9610346382956805
0.9558732131758856,0.9620563035495716,0.9854889589905362,0.8835063437139562,0.8414464534075105,0.925674254567492,0.9821976672805403,0.9368485591661557,0.9413265306122449,0.8958579881656804,0.8677462887989204,0.9247954068047084,0.9900497512437811,0.9431279620853079,0.9312169312169312,0.8333333333333333,0.8405797101449274,0.9076615376048561,0.9386792452830188,0.9063291139240507,0.9509043927648578,0.8170426065162906,0.8,0.8825910716976435
0.9806371018113679,0.975609756097561,0.9887920298879203,0.9134438305709024,0.8996805111821087,0.9516326459099721,0.9981285090455396,0.9918902058640051,0.9962358845671266,0.9221484610742305,0.9163966299416719,0.9649599380985149,0.995,0.9556650246305418,0.9618320610687023,0.9191919191919193,0.908641975308642,0.948066196039961,0.9802955665024631,0.9595959595959594,0.9748743718592964,0.9313725490196078,0.9234693877551022,0.9539215669464858
